_id,OverallQual,YearBuilt,YearRemodAdd,GrLivArea,GarageCars,GarageArea,SalePrice
178,9,2008,2009,2234,3,1166,501837
179,5,1923,2006,968,2,480,100000
180,6,2000,2000,1525,2,440,177000
181,7,1920,1950,1802,1,216,200100
182,5,1957,2006,1340,1,252,120000
183,7,2003,2003,2082,2,484,200000
184,5,1908,1991,1252,2,576,127000
185,10,1892,1993,3608,3,840,475000
186,7,1990,1991,1217,2,497,173000
187,5,1916,1987,1656,1,180,135000
188,5,1979,1979,1224,2,528,153337
189,8,2001,2002,1593,2,682,286000
190,8,1932,1994,2727,2,440,315000
191,7,1972,2004,1479,2,484,184000
192,7,1999,1999,1431,2,666,192000
193,7,2004,2004,1709,2,380,130000
194,5,1972,1972,864,1,352,127000
195,6,1976,1976,1456,2,440,148500
196,7,2007,2007,1726,3,786,311872
197,8,1918,1990,3112,2,795,235000
198,6,1912,1950,2229,0,0,104000
199,8,2004,2005,1713,3,856,274900
200,4,2003,2004,1121,2,440,140000
201,6,1977,1977,1279,2,473,171500
202,6,1924,1950,1310,1,398,112000
203,6,2004,2004,848,2,420,149000
204,5,1947,1950,1284,1,240,110000
205,7,1990,1990,1442,2,500,180500
206,5,1962,1962,1696,1,349,143900
207,4,1960,1960,1100,1,312,141000
208,7,1988,1989,2062,2,454,277000
209,6,1964,1964,1092,2,504,145000
210,5,1925,1950,864,0,0,98000
211,6,2009,2009,1212,2,460,186000
212,7,2009,2009,1852,2,644,252678
213,5,1995,1995,990,2,576,156000
214,6,1977,1977,1392,1,299,161750
215,5,1957,1996,1236,1,447,134450
216,7,2004,2004,1436,2,484,210000
217,4,1925,1950,1328,1,210,107000
218,7,1939,2006,1954,2,431,311500
219,7,2005,2006,1248,2,438,167240
220,7,2006,2006,1498,2,675,204900
221,6,2002,2002,2267,2,390,200000
222,6,1975,1975,1552,2,434,179900
223,4,1971,1971,864,2,576,97000
224,10,2003,2003,2392,3,968,386250
225,5,1971,1971,1302,1,280,112000
226,7,1995,1995,2520,3,721,290000
227,6,1970,1970,987,1,280,106000
228,5,1967,1967,912,1,336,125000
229,7,2005,2006,1555,2,430,192500
230,6,1959,1959,1194,1,312,148000
231,8,1995,1996,2794,3,810,403000
232,6,1972,1972,987,1,288,94500
233,5,1976,1976,894,1,308,128200
234,6,2002,2002,1960,2,440,216500
235,6,1971,1971,987,1,264,89500
236,7,2004,2004,1414,2,494,185500
237,7,1993,2003,1744,2,457,194500
238,8,2007,2007,1694,3,818,318000
239,6,1945,1950,1487,1,220,113000
240,8,2008,2008,1566,2,750,262500
241,5,1945,1997,866,0,0,110500
242,5,1900,1950,1440,1,352,79000
243,6,1980,1980,1217,1,288,120000
244,7,1994,2002,2110,2,463,205000
245,7,1988,1988,1872,2,604,241500
246,6,1910,1950,1928,1,440,137000
247,6,1954,1954,1375,2,451,140000
248,7,2003,2003,1668,2,500,180000
249,6,1958,2006,2144,2,389,277000
250,3,1940,1966,1306,0,0,76500
251,8,2006,2007,1625,2,538,235000
252,6,2004,2004,1640,2,520,173000
253,6,1964,1991,1302,1,309,158000
254,5,1957,1957,1314,1,294,145000
255,7,1999,1999,2291,2,429,230000
256,6,2003,2003,1728,2,673,207500
257,7,2006,2006,1604,2,660,220000
258,7,2001,2001,1792,2,564,231500
259,5,1956,1956,882,1,308,97000
260,6,1962,1962,1382,2,884,176000
261,8,2007,2007,2574,3,868,276000
262,6,1977,1995,1212,2,492,151000
263,5,1929,2001,1316,2,484,130000
264,5,1925,2004,764,2,504,73000
265,6,1981,1981,1422,2,576,175500
266,6,1997,1997,1511,2,413,185000
267,5,1939,1997,2192,1,240,179500
268,5,1940,1955,778,1,924,120500
269,6,1976,1976,1113,1,504,148000
270,8,2006,2006,1939,3,1053,266000
271,7,1954,2005,1363,2,439,241500
272,8,1999,2007,2270,3,671,290000
273,6,1958,1988,1632,1,338,139000
274,5,1982,1982,816,1,264,124500
275,7,1925,2007,1548,2,672,205000
276,7,2003,2003,1560,2,573,201000
277,4,1951,1951,864,2,400,141000
278,9,2006,2007,2121,3,732,415298
279,7,1977,1977,2022,2,505,192000
280,7,1989,1989,1982,2,575,228500
281,6,2006,2006,1262,2,572,185000
282,7,2007,2008,1314,2,626,207500
283,8,2008,2009,1468,3,898,244600
284,6,1992,1992,1575,2,529,179200
285,7,2006,2007,1250,2,528,164700
286,6,1962,1981,1734,2,440,159000
287,4,1971,1971,858,0,0,88000
288,5,1967,1967,900,1,280,122000
289,6,1915,2003,1396,1,384,153575
290,8,2006,2006,1919,2,685,233230
291,5,1912,2000,1716,0,0,135900
292,5,1949,2008,1716,1,281,131000
293,7,1977,1994,2263,2,539,235000
294,6,1953,1953,1644,2,418,167000
295,6,1984,1984,1003,2,588,142500
296,5,1950,1950,1558,1,282,152000
297,7,1997,1998,1950,2,576,239000
298,6,1968,1968,1743,2,539,175000
299,6,1950,2004,1152,1,300,158500
300,5,1953,1953,1336,1,375,157000
301,8,1998,1999,2452,2,683,267000
302,7,2001,2002,1541,3,843,205000
303,5,1972,1972,894,2,552,149900
304,7,1880,2002,3493,3,870,295000
305,8,2004,2005,2000,3,888,305900
306,7,1990,1991,2243,3,746,225000
307,6,1920,1950,1406,0,0,89500
308,4,1940,1950,861,2,539,82500
309,9,2003,2004,1944,3,708,360000
310,6,1993,1994,1501,2,420,165600
311,6,1948,2002,972,1,240,132000
312,5,1939,1950,1118,2,410,119900
313,7,1965,1965,2036,2,513,375000
314,7,1925,1990,1641,2,546,178000
315,7,2004,2005,1432,2,432,188500
316,7,1980,1980,2353,2,484,260000
317,8,2006,2006,1959,3,1025,270000
318,7,1993,1993,2646,3,656,260000
319,7,1980,1980,1472,2,588,187500
320,9,2006,2006,2596,3,840,342643
321,8,2004,2004,2468,3,872,354000
322,7,1986,1987,2730,2,576,301000
323,3,1955,2005,1163,1,220,126175
324,7,1967,2007,2978,2,564,242000
325,5,1941,1950,803,2,360,87000
326,8,1993,1993,1719,2,473,324000
327,6,1960,1960,1383,1,292,145250
328,6,1916,1994,2134,2,441,214500
329,5,1920,1950,1192,1,189,78000
330,5,1964,1964,1728,1,352,119000
331,5,1958,1992,1056,1,308,139000
332,8,2003,2004,1629,3,880,284000
333,7,2004,2004,1358,2,484,207000
334,6,1998,1998,1638,2,472,192000
335,5,1965,1965,1786,2,529,228950
336,9,2005,2006,1922,3,676,377426
337,7,2002,2003,1536,2,532,214000
338,7,1984,1998,1621,2,440,202500
339,6,1958,1998,1215,1,297,155000
340,8,2002,2002,1908,2,431,202900
341,4,1950,1950,841,1,294,82000
342,3,1949,1950,1040,2,400,87500
343,9,2005,2005,1684,2,564,266000
344,5,1976,1976,1112,1,336,85000
345,6,1939,1950,1577,1,312,140200
346,6,1960,1998,958,1,301,151500
347,6,1960,1960,1478,2,498,157500
348,7,2003,2004,1626,2,474,154000
349,9,2005,2006,2728,3,706,437154
350,9,2007,2007,1869,2,617,318061
351,7,1986,1986,1453,2,445,190000
352,5,1941,1950,1111,1,200,95000
353,6,1928,2003,720,2,484,105900
354,6,1940,2000,1595,1,240,140000
355,6,1995,1995,1200,2,521,177500
356,6,1992,1992,1167,2,400,173000
357,5,1976,1976,1142,2,528,134000
358,5,1958,1958,1352,1,288,130000
359,8,1998,1998,1924,2,592,280000
360,6,1978,1978,912,2,470,156000
361,5,1940,1982,1505,1,240,145000
362,7,2003,2003,1922,2,672,198500
363,6,1972,2007,987,1,264,118000
364,6,1976,1976,1574,2,566,190000
365,5,1920,1997,1344,1,468,147000
366,6,1963,1963,1394,2,514,159000
367,6,1962,1962,1431,1,296,165000
368,5,1954,1954,1268,1,244,132000
369,5,1959,2006,1287,2,576,162000
370,6,2000,2000,1664,2,460,172400
371,4,1959,1959,1588,2,680,134432
372,6,1984,1984,752,1,264,125000
373,5,1953,1953,1319,1,270,123000
374,7,2003,2004,1928,2,434,219500
375,1,1922,1950,904,0,0,61000
376,5,1996,1996,914,2,576,148000
377,8,2004,2005,2466,2,610,340000
378,9,2010,2010,1856,3,834,394432
379,6,2000,2000,1800,2,463,179000
380,5,1924,1950,1691,1,308,127000
381,7,2006,2006,1301,2,572,187750
382,7,2006,2006,1797,2,639,213500
383,6,1928,1950,784,2,360,76000
384,6,1992,1992,1953,2,501,240000
385,8,2004,2005,1269,2,430,192000
386,5,1910,1996,1184,0,0,81000
387,6,1976,1976,1125,1,352,125000
388,7,1999,2000,1479,2,577,191000
389,10,2007,2008,2332,3,846,426000
390,5,1900,1950,1367,1,384,119000
391,6,2001,2002,1961,2,560,215000
392,5,1959,1959,882,1,294,106500
393,4,1941,1950,788,0,0,100000
394,5,1940,1950,1034,1,240,109000
395,5,1956,1956,1144,1,596,129000
396,5,1972,1972,894,2,600,123000
397,5,1962,1962,1812,1,264,169500
398,5,1920,1950,1077,1,338,67000
399,7,2006,2007,1550,2,438,241000
400,8,1996,1996,1288,2,500,245500
401,7,2005,2005,1310,2,400,164990
402,5,1940,1997,672,1,240,108000
403,8,1998,1998,2263,2,420,258000
404,6,1995,1996,1572,2,373,168000
405,4,1976,1993,1620,2,490,150000
406,6,1936,1950,1639,1,240,115000
407,6,1915,1976,1680,1,308,177000
408,7,2006,2006,2172,3,947,280000
409,8,2007,2008,2078,3,836,339750
410,5,1958,1958,1276,1,350,60000
411,5,1955,1955,1056,2,572,145000
412,7,2009,2009,1478,2,484,222000
413,5,1927,1950,1028,2,360,115000
414,7,1993,1993,2097,3,678,228000
415,7,2007,2007,1340,2,396,181134
416,6,1978,1978,1400,2,440,149500
417,6,1918,1950,2624,3,864,239000
418,5,1940,1950,1134,1,240,126000
419,5,1968,1968,1056,1,304,142000
420,7,1997,1998,1344,4,784,206300
421,6,1977,2000,1602,2,529,215000
422,5,1954,1954,988,2,520,113000
423,8,1998,1998,2630,3,696,315000
424,6,1956,1956,1196,1,297,139000
425,7,1946,1992,1389,1,240,135000
426,7,1989,1989,1644,2,569,275000
427,4,1957,1957,907,1,352,109008
428,7,2007,2007,1208,2,628,195400
429,6,1988,1988,1412,2,576,175000
430,6,1971,1971,987,1,264,85400
431,6,1920,1998,1198,0,0,79900
432,5,1971,1971,1365,2,440,122500
433,6,1997,1998,1604,2,470,181000
434,4,1972,1972,630,0,0,81000
435,7,1996,1996,1661,2,550,212000
436,6,1920,1950,1118,2,440,116000
437,6,1926,2004,904,1,180,119000
438,5,1913,2002,694,1,352,90350
439,6,1920,2000,1196,2,528,110000
440,10,2008,2008,2402,3,672,555000
441,4,1955,1955,1440,0,0,118000
442,5,1930,1992,1573,2,360,162900
443,7,2006,2007,1258,3,648,172500
444,7,1994,1995,1908,2,493,210000
445,6,1956,1956,1689,2,480,127500
446,6,1966,2002,1888,2,578,190000
447,7,1998,1999,1886,2,431,199900
448,6,1937,1950,1376,1,198,119500
449,3,1948,2002,1183,1,308,120000
450,6,1930,2005,813,1,270,110000
451,7,1975,1975,1533,2,576,280000
452,6,1996,1997,1756,2,422,204000
453,8,2008,2008,1590,2,676,210000
454,5,1976,1976,1728,2,560,188000
455,7,1973,1973,1242,2,528,175500
456,5,1916,1950,1344,3,513,98000
457,4,1954,1994,1663,2,529,256000
458,8,1925,1996,1666,1,228,161000
459,5,1950,1950,1203,1,352,110000
460,8,2009,2009,1935,2,552,263435
461,7,1936,2007,1135,2,576,155000
462,5,1965,1965,864,1,360,62383
463,6,1934,1995,1660,1,240,188700
464,5,1978,1978,1040,0,0,124000
465,7,2004,2004,1414,2,398,178740
466,7,1970,1970,1277,2,526,167000
467,5,1942,1995,1644,1,312,146500
468,8,2006,2006,1634,3,866,250000
469,6,1993,1993,1710,2,506,187000
470,8,1985,1985,1502,2,528,212000
471,7,1977,1977,1969,2,534,190000
472,6,2005,2005,1072,2,525,148000
473,8,2006,2007,1976,3,908,440000
474,8,2000,2000,1652,2,499,251000
475,5,1963,1963,970,2,624,132500
476,6,1997,1998,1493,2,508,208900
477,9,2006,2006,2643,3,694,380000
478,8,2007,2008,1718,3,826,297000
479,4,1937,2000,1131,2,672,89471
480,9,2004,2005,1850,3,772,326000
481,9,2003,2004,1792,3,874,374000
482,7,1915,2005,1826,1,164,155000
483,6,1998,1998,1216,2,402,164000
484,5,1962,2001,999,1,264,132500
485,5,1950,2007,1113,1,264,147000
486,5,1965,1965,1073,2,515,156000
487,5,1971,1971,1484,2,487,175000
488,5,1900,1970,2414,2,520,160000
489,4,1970,2002,630,1,286,86000
490,5,1976,1976,1304,1,336,115000
491,6,1941,1950,1578,1,240,133000
492,6,2006,2006,1456,2,429,172785
493,5,1960,1960,1269,1,308,155000
494,5,1938,1996,886,1,273,91300
495,4,1920,1950,720,0,0,34900
496,8,1992,1993,3228,2,546,430000
497,7,1925,1950,1820,1,240,184000
498,5,1967,2004,899,1,288,130000
499,5,1958,1985,912,1,297,120000
500,6,1973,1973,1218,1,264,113000
501,7,2005,2005,1768,2,603,226700
502,5,1965,1965,1214,2,461,140000
503,7,1959,1997,1801,2,484,289000
504,6,1974,1974,1322,2,440,147000
505,5,1952,1952,1960,2,400,124500
506,8,1993,1994,1911,2,471,215000
507,6,2009,2009,1218,2,676,208300
508,7,1928,2005,1378,2,360,161000
509,5,1959,1959,1041,1,270,124500
510,5,1951,2000,1363,1,288,164900
511,7,2005,2006,1368,2,474,202665
512,5,1958,1958,864,2,624,129900
513,6,1983,1983,1080,2,484,134000
514,5,1926,1950,789,1,200,96500
515,10,2009,2009,2020,3,900,402861
516,6,1972,1972,2119,2,583,158000
517,7,1996,1997,2344,3,889,265000
518,6,1998,1998,1796,2,546,211000
519,7,1926,2004,2080,1,282,234000
520,4,1900,2000,1294,0,0,106250
521,6,1957,1957,1244,1,336,150000
522,6,1947,1950,1664,2,420,159000
523,10,2007,2008,4676,3,884,184750
524,7,1996,1997,2398,3,834,315750
525,7,2005,2005,1266,2,453,176000
526,5,1956,2000,928,1,252,132000
527,9,2008,2008,2713,3,858,446261
528,4,1920,2002,605,0,0,86000
529,6,1957,1975,2515,2,484,200624
530,6,1988,1989,1509,2,600,175000
531,6,1920,1999,1362,2,502,128000
532,5,1955,2007,827,1,392,107500
533,1,1946,1950,334,0,0,39300
534,8,2004,2004,1414,2,403,178000
535,5,1910,1991,1347,0,0,107500
536,7,1998,1999,1724,2,527,188000
537,4,1972,1972,864,2,576,111250
538,5,1968,1968,1159,1,336,158000
539,8,2001,2002,1601,2,670,272000
540,9,2006,2006,1838,3,765,315000
541,8,2000,2000,2285,3,648,248000
542,7,1998,1999,1680,2,583,213250
543,7,1998,1998,767,1,367,133000
544,7,2006,2006,1496,2,426,179665
545,7,1988,1988,2183,3,786,229000
546,6,1923,1950,1635,2,440,210000
547,5,1970,1970,768,2,624,129500
548,5,1955,1995,825,2,720,125000
549,7,2003,2004,2094,2,615,263000
550,6,1977,1977,1069,2,440,140000
551,5,1957,1957,928,1,288,112500
552,8,2006,2006,1717,3,908,255500
553,4,1949,2003,1126,2,520,108000
554,7,2003,2004,2046,3,871,284000
555,5,1922,1950,1048,1,280,113000
556,5,1957,1957,1092,1,299,141000
557,4,1920,1950,1336,1,570,108000
558,7,1996,1997,1446,2,406,175000
559,7,2003,2004,1557,2,420,234000
560,5,1957,1996,1392,2,528,121500
561,5,1974,1975,1389,2,418,170000
562,5,1940,1969,996,0,0,108000
563,6,1918,1950,1674,2,396,185000
564,7,1992,2000,2295,2,590,268000
565,6,1915,1950,1647,1,216,128000
566,9,2005,2007,2504,3,656,325000
567,7,2004,2004,1535,2,532,214000
568,8,1983,2009,2132,2,612,316600
569,5,1979,1979,943,2,600,135960
570,5,1965,1965,1728,2,576,142600
571,6,1959,1959,864,1,288,120000
572,7,2009,2009,1692,2,650,224500
573,7,2000,2000,1430,2,400,170000
574,5,1971,2005,1109,1,288,139000
575,5,1947,1950,1216,1,336,118500
576,7,1928,1950,1477,1,216,145000
577,5,1966,1966,1320,2,564,164500
578,7,2007,2007,1392,2,540,146000
579,5,1954,1954,1795,1,352,131500
580,6,1960,1987,1429,2,572,181900
581,8,2008,2009,2042,3,1390,253293
582,6,1990,1990,816,0,0,118500
583,10,1893,2000,2775,2,880,325000
584,4,1935,1995,1573,1,240,133000
585,8,2005,2006,2028,3,880,369900
586,6,1918,2000,838,1,275,130000
587,5,1982,1982,860,2,528,137000
588,5,1968,2003,1473,1,452,143000
589,5,1930,1960,935,1,308,79500
590,7,2004,2004,1582,2,520,185900
591,10,2008,2008,2296,3,842,451950
592,5,1982,2003,816,2,816,138000
593,6,2003,2003,848,2,420,140000
594,5,1975,1975,924,1,280,110000
595,8,2005,2006,1826,3,758,319000
596,6,1910,1993,1368,1,216,114504
597,7,2006,2007,1402,3,648,194201
598,5,1977,1977,1647,2,621,217500
599,6,1980,1980,1556,2,452,151000
600,8,2005,2005,1904,2,736,275000
601,6,1937,1950,1375,1,544,141000
602,8,1992,1992,1915,2,506,220000
603,7,2004,2005,1200,2,480,151000
604,7,2002,2002,1494,2,530,221000
605,7,1965,1990,1986,2,486,205000
606,5,1996,1996,1040,2,576,152000
607,5,1948,2002,2008,1,230,225000
608,8,1934,1998,3194,2,380,359100
609,4,1961,1961,1029,1,261,118500
610,9,2000,2000,2153,3,736,313000
611,6,1978,1978,1032,2,564,148000
612,8,2001,2001,1872,2,531,261500
613,5,2007,2007,1120,0,0,147000
614,4,1972,1972,630,0,0,75500
615,6,1963,1963,1054,2,480,137500
616,6,2002,2003,1509,2,393,183200
617,6,1954,1954,832,2,528,105500
618,9,2007,2007,1828,3,774,314813
619,8,2003,2003,2262,3,749,305000
620,3,1914,1950,864,0,0,67000
621,6,1974,1997,2614,2,624,240000
622,5,1977,1977,980,2,484,135000
623,6,2000,2000,1512,2,440,168500
624,6,1972,1972,1790,2,484,165150
625,6,1962,1962,1116,2,440,160000
626,5,1960,1978,1422,1,286,139900
627,6,1955,1972,1520,1,364,153000
628,5,1969,1969,2080,2,504,135000
629,6,1964,1964,1350,2,520,168500
630,5,1880,1991,1750,1,240,124000
631,8,2006,2006,1554,2,627,209500
632,7,1977,1977,1411,2,544,82500
633,5,1954,2005,1056,1,260,139400
634,6,1980,1980,1056,2,576,144000
635,6,1914,1995,3395,0,0,200000
636,2,1936,1950,800,0,0,60000
637,5,1954,1954,1387,1,256,93000
638,5,1910,1950,796,0,0,85000
639,8,2006,2006,1567,3,648,264561
640,8,2003,2004,1518,2,588,274000
641,7,2001,2001,1929,2,650,226000
642,8,1972,1995,2704,2,538,345000
643,5,1969,1969,1620,2,462,152000
644,9,2009,2009,1766,3,478,370878
645,6,1971,1971,981,2,576,143250
646,5,1950,1950,1048,2,420,98300
647,6,1953,1953,1094,2,495,155000
648,6,1966,1966,1839,2,442,155000
649,4,1970,1970,630,0,0,84500
650,7,2007,2007,1665,2,562,205950
651,4,1940,1950,1510,1,296,108000
652,7,1996,1996,1716,2,512,191000
653,6,1906,1995,1469,1,216,135000
654,8,1995,1995,2113,3,839,350000
655,6,1971,1971,1092,1,264,88000
656,5,1959,2006,1053,1,312,145500
657,7,1931,2000,1502,1,270,149000
658,6,1948,1950,1458,1,330,97500
659,5,1964,1999,1486,2,480,167000
660,7,1976,1976,1935,2,550,197900
661,8,1994,2005,2448,3,711,402000
662,6,1968,1968,1392,2,576,110000
663,4,1972,1972,1181,2,588,137500
664,8,2005,2006,2097,3,1134,423000
665,8,2000,2000,1936,2,504,230500
666,6,1965,1979,2380,2,596,129000
667,6,1994,1998,1679,2,575,193500
668,5,1956,1987,1437,2,576,168000
669,4,1922,1950,1180,1,252,137500
670,6,2005,2005,1476,2,540,173500
671,6,1925,1950,1369,1,300,103600
672,6,1977,1977,1208,2,546,165000
673,6,1957,2004,1839,2,416,257500
674,6,1965,1965,1136,1,384,140000
675,6,1978,1978,1441,2,440,148500
676,4,1900,1950,1774,3,779,87000
677,5,1924,2006,792,1,240,109500
678,8,2008,2008,2046,3,834,372500
679,5,1961,1961,988,2,572,128500
680,6,1980,1980,923,1,264,143000
681,5,1932,2000,1520,1,281,159434
682,6,1996,1997,1291,2,431,173000
683,9,2002,2002,1668,3,702,285000
684,7,1998,1998,1839,2,486,221000
685,7,1984,1984,2090,2,577,207500
686,7,2007,2007,1761,2,578,227875
687,7,2004,2004,1102,2,480,148800
688,8,2007,2007,1419,2,567,392000
689,6,2005,2006,1362,2,460,194700
690,6,2004,2004,848,2,420,141000
691,10,1994,1995,4316,3,832,755000
692,7,1989,1990,2519,2,628,335000
693,5,1921,1968,1073,1,326,108480
694,5,1936,1950,1539,2,576,141500
695,6,1987,1987,1137,2,551,176000
696,5,1921,1950,616,1,205,89000
697,5,1952,1952,1148,1,308,123500
698,5,1965,2009,894,1,336,138500
699,7,2004,2004,1391,2,530,196000
